t (ms);signal
3.612000000000000455e+02;2.631000000000000000e+03
3.613000000000000114e+02;-1.171100000000000000e+04
3.614000000000000341e+02;9.180000000000000000e+02
3.615000000000000000e+02;6.042000000000000000e+03
3.616000000000000227e+02;-5.789000000000000000e+03
3.617000000000000455e+02;5.186000000000000000e+03
3.618000000000000114e+02;8.355000000000000000e+03
3.619000000000000341e+02;-8.283000000000000000e+03
3.620000000000000000e+02;-1.079000000000000000e+03
3.621000000000000227e+02;3.466000000000000000e+03
3.622000000000000455e+02;-9.820000000000000000e+03
3.623000000000000114e+02;7.380000000000000000e+02
3.624000000000000341e+02;9.680000000000000000e+03
3.625000000000000000e+02;-4.006000000000000000e+03
3.626000000000000227e+02;2.023000000000000000e+03
3.627000000000000455e+02;7.533000000000000000e+03
3.628000000000000114e+02;-9.336000000000000000e+03
3.629000000000000341e+02;-4.327000000000000000e+03
3.630000000000000000e+02;5.323000000000000000e+03
3.631000000000000227e+02;-6.410000000000000000e+03
3.632000000000000455e+02;6.380000000000000000e+02
3.633000000000000114e+02;1.131000000000000000e+04
3.634000000000000341e+02;-3.460000000000000000e+03
3.635000000000000000e+02;-2.257000000000000000e+03
3.636000000000000227e+02;6.079000000000000000e+03
3.637000000000000455e+02;-8.728000000000000000e+03
3.638000000000000114e+02;-5.695000000000000000e+03
3.639000000000000341e+02;8.092000000000000000e+03
3.640000000000000000e+02;-2.623000000000000000e+03
3.641000000000000227e+02;-5.420000000000000000e+02
3.642000000000000455e+02;1.105700000000000000e+04
3.643000000000000114e+02;-3.545000000000000000e+03
3.644000000000000341e+02;-6.554000000000000000e+03
3.645000000000000000e+02;4.995000000000000000e+03
3.646000000000000227e+02;-6.072000000000000000e+03
3.647000000000000455e+02;-5.783000000000000000e+03
3.648000000000000114e+02;1.004300000000000000e+04
3.649000000000000341e+02;6.780000000000000000e+02
3.650000000000000000e+02;-2.848000000000000000e+03
3.651000000000000227e+02;8.650000000000000000e+03
3.652000000000000455e+02;-3.747000000000000000e+03
3.653000000000000114e+02;-9.368000000000000000e+03
3.654000000000000341e+02;4.710000000000000000e+03
3.655000000000000000e+02;-1.971000000000000000e+03
3.656000000000000227e+02;-4.937000000000000000e+03
3.657000000000000455e+02;1.043100000000000000e+04
3.658000000000000114e+02;2.602000000000000000e+03
3.659000000000000341e+02;-5.898000000000000000e+03
3.660000000000000000e+02;5.302000000000000000e+03
3.661000000000000227e+02;-2.721000000000000000e+03
3.662000000000000455e+02;-1.000900000000000000e+04
3.663000000000000114e+02;5.286000000000000000e+03
3.664000000000000341e+02;2.576000000000000000e+03
3.665000000000000000e+02;-4.013000000000000000e+03
3.666000000000000227e+02;8.654000000000000000e+03
3.667000000000000455e+02;2.931000000000000000e+03
3.668000000000000114e+02;-8.710000000000000000e+03
3.669000000000000341e+02;2.061000000000000000e+03
3.670000000000000000e+02;-5.080000000000000000e+02
3.671000000000000227e+02;-8.661000000000000000e+03
3.672000000000000455e+02;5.883000000000000000e+03
3.673000000000000114e+02;6.105000000000000000e+03
3.674000000000000341e+02;-4.339000000000000000e+03
3.675000000000000000e+02;5.145000000000000000e+03
3.676000000000000227e+02;2.459000000000000000e+03
3.677000000000000455e+02;-9.982000000000000000e+03
3.678000000000000114e+02;3.460000000000000000e+02
3.679000000000000341e+02;2.701000000000000000e+03
3.680000000000000000e+02;-5.879000000000000000e+03
3.681000000000000227e+02;5.375000000000000000e+03
3.682000000000000455e+02;7.493000000000000000e+03
3.683000000000000114e+02;-5.415000000000000000e+03
3.684000000000000341e+02;1.020000000000000000e+03
3.685000000000000000e+02;2.158000000000000000e+03
3.686000000000000227e+02;-9.439000000000000000e+03
3.687000000000000455e+02;-2.310000000000000000e+02
3.688000000000000114e+02;5.888000000000000000e+03
3.689000000000000341e+02;-3.636000000000000000e+03
3.690000000000000000e+02;3.589000000000000000e+03
3.691000000000000227e+02;7.126000000000000000e+03
3.692000000000000455e+02;-6.457000000000000000e+03
3.693000000000000114e+02;-2.421000000000000000e+03
3.694000000000000341e+02;2.878000000000000000e+03
3.695000000000000000e+02;-7.155000000000000000e+03
3.696000000000000227e+02;-1.100000000000000000e+02
3.697000000000000455e+02;8.182000000000000000e+03
3.698000000000000114e+02;-2.056000000000000000e+03
3.699000000000000341e+02;5.290000000000000000e+02
3.700000000000000000e+02;5.621000000000000000e+03
3.701000000000000227e+02;-6.753000000000000000e+03
3.702000000000000455e+02;-4.400000000000000000e+03
3.703000000000000114e+02;4.225000000000000000e+03
3.704000000000000341e+02;-3.645000000000000000e+03
3.705000000000000000e+02;-8.300000000000000000e+01
3.706000000000000227e+02;8.634000000000000000e+03
3.707000000000000455e+02;-1.710000000000000000e+03
3.708000000000000114e+02;-2.719000000000000000e+03
3.709000000000000341e+02;3.803000000000000000e+03
3.710000000000000000e+02;-5.605000000000000000e+03
3.711000000000000227e+02;-4.753000000000000000e+03
3.712000000000000455e+02;5.675000000000000000e+03
3.713000000000000114e+02;-6.090000000000000000e+02
3.714000000000000341e+02;-7.230000000000000000e+02
3.715000000000000000e+02;7.382000000000000000e+03
3.716000000000000227e+02;-1.748000000000000000e+03
3.717000000000000455e+02;-5.432000000000000000e+03
3.718000000000000114e+02;2.759000000000000000e+03
3.719000000000000341e+02;-3.091000000000000000e+03
3.720000000000000000e+02;-4.060000000000000000e+03
3.721000000000000227e+02;6.457000000000000000e+03
3.722000000000000455e+02;1.607000000000000000e+03
3.723000000000000114e+02;-2.187000000000000000e+03
3.724000000000000341e+02;4.810000000000000000e+03
3.725000000000000000e+02;-1.657000000000000000e+03
3.726000000000000227e+02;-6.396000000000000000e+03
3.727000000000000455e+02;2.423000000000000000e+03
3.728000000000000114e+02;-1.360000000000000000e+02
3.729000000000000341e+02;-2.873000000000000000e+03
3.730000000000000000e+02;5.859000000000000000e+03
3.731000000000000227e+02;2.276000000000000000e+03
3.732000000000000455e+02;-3.847000000000000000e+03
3.733000000000000114e+02;2.180000000000000000e+03
3.734000000000000341e+02;-1.072000000000000000e+03
3.735000000000000000e+02;-5.771000000000000000e+03
3.736000000000000227e+02;2.647000000000000000e+03
3.737000000000000455e+02;2.337000000000000000e+03
3.738000000000000114e+02;-2.037000000000000000e+03
3.739000000000000341e+02;4.192000000000000000e+03
3.740000000000000000e+02;1.972000000000000000e+03
3.741000000000000227e+02;-4.803000000000000000e+03
3.742000000000000455e+02;3.650000000000000000e+02
3.743000000000000114e+02;2.530000000000000000e+02
3.744000000000000341e+02;-4.226000000000000000e+03
3.745000000000000000e+02;2.610000000000000000e+03
3.746000000000000227e+02;3.623000000000000000e+03
3.747000000000000455e+02;-2.177000000000000000e+03
3.748000000000000114e+02;2.087000000000000000e+03
3.749000000000000341e+02;1.535000000000000000e+03
3.750000000000000000e+02;-4.944000000000000000e+03
3.751000000000000227e+02;-3.200000000000000000e+02
3.752000000000000455e+02;1.867000000000000000e+03
3.753000000000000114e+02;-2.621000000000000000e+03
3.754000000000000341e+02;2.142000000000000000e+03
3.755000000000000000e+02;3.912000000000000000e+03
3.756000000000000227e+02;-2.597000000000000000e+03
3.757000000000000455e+02;-1.080000000000000000e+02
3.758000000000000114e+02;1.284000000000000000e+03
3.759000000000000341e+02;-4.210000000000000000e+03
3.760000000000000000e+02;-2.520000000000000000e+02
3.761000000000000227e+02;3.086000000000000000e+03
3.762000000000000455e+02;-1.338000000000000000e+03
3.763000000000000114e+02;1.014000000000000000e+03
3.764000000000000341e+02;3.046000000000000000e+03
3.765000000000000000e+02;-2.681000000000000000e+03
3.766000000000000227e+02;-1.422000000000000000e+03
3.767000000000000455e+02;1.412000000000000000e+03
3.768000000000000114e+02;-2.525000000000000000e+03
3.769000000000000341e+02;-2.160000000000000000e+02
3.770000000000000000e+02;3.387000000000000000e+03
3.771000000000000227e+02;-7.850000000000000000e+02
3.772000000000000455e+02;-1.900000000000000000e+02
3.773000000000000114e+02;2.167000000000000000e+03
3.774000000000000341e+02;-2.313000000000000000e+03
3.775000000000000000e+02;-1.866000000000000000e+03
3.776000000000000227e+02;1.744000000000000000e+03
3.777000000000000455e+02;-9.580000000000000000e+02
3.778000000000000114e+02;-1.990000000000000000e+02
3.779000000000000341e+02;3.055000000000000000e+03
3.780000000000000000e+02;-4.650000000000000000e+02
3.781000000000000227e+02;-1.280000000000000000e+03
3.782000000000000455e+02;1.288000000000000000e+03
3.783000000000000114e+02;-1.496000000000000000e+03
3.784000000000000341e+02;-1.484000000000000000e+03
3.785000000000000000e+02;1.853000000000000000e+03
3.786000000000000227e+02;1.400000000000000000e+02
3.787000000000000455e+02;-5.530000000000000000e+02
3.788000000000000114e+02;1.939000000000000000e+03
3.789000000000000341e+02;-4.370000000000000000e+02
3.790000000000000000e+02;-1.715000000000000000e+03
3.791000000000000227e+02;7.230000000000000000e+02
3.792000000000000455e+02;-4.640000000000000000e+02
3.793000000000000114e+02;-1.144000000000000000e+03
3.794000000000000341e+02;1.623000000000000000e+03
3.795000000000000000e+02;5.320000000000000000e+02
3.796000000000000227e+02;-8.360000000000000000e+02
3.797000000000000455e+02;9.790000000000000000e+02
3.798000000000000114e+02;-4.180000000000000000e+02
3.799000000000000341e+02;-1.635000000000000000e+03
3.800000000000000000e+02;5.620000000000000000e+02
3.801000000000000227e+02;2.630000000000000000e+02
3.802000000000000455e+02;-7.140000000000000000e+02
3.803000000000000114e+02;1.119000000000000000e+03
3.804000000000000341e+02;4.860000000000000000e+02
3.805000000000000000e+02;-9.060000000000000000e+02
3.806000000000000227e+02;2.930000000000000000e+02
3.807000000000000455e+02;-5.300000000000000000e+01
3.808000000000000114e+02;-9.860000000000000000e+02
3.809000000000000341e+02;4.880000000000000000e+02
3.810000000000000000e+02;6.210000000000000000e+02
3.811000000000000227e+02;-3.810000000000000000e+02
3.812000000000000455e+02;5.130000000000000000e+02
3.813000000000000114e+02;3.390000000000000000e+02
3.814000000000000341e+02;-8.790000000000000000e+02
3.815000000000000000e+02;-1.170000000000000000e+02
3.816000000000000227e+02;1.600000000000000000e+02
3.817000000000000455e+02;-4.050000000000000000e+02
3.818000000000000114e+02;3.170000000000000000e+02
3.819000000000000341e+02;5.810000000000000000e+02
3.820000000000000000e+02;-3.650000000000000000e+02
3.821000000000000227e+02;1.000000000000000000e+02
3.822000000000000455e+02;1.140000000000000000e+02
3.823000000000000114e+02;-4.710000000000000000e+02
3.824000000000000341e+02;-7.200000000000000000e+01
3.825000000000000000e+02;3.930000000000000000e+02
3.826000000000000227e+02;-9.300000000000000000e+01
3.827000000000000455e+02;1.010000000000000000e+02
3.828000000000000114e+02;3.210000000000000000e+02
3.829000000000000341e+02;-2.080000000000000000e+02
3.830000000000000000e+02;-1.310000000000000000e+02
3.831000000000000227e+02;7.000000000000000000e+01
3.832000000000000455e+02;-1.900000000000000000e+01
3.833000000000000114e+02;-1.900000000000000000e+01
3.834000000000000341e+02;2.420000000000000000e+02
3.835000000000000000e+02;8.500000000000000000e+01
3.836000000000000227e+02;2.900000000000000000e+01
3.837000000000000455e+02;-4.200000000000000000e+01
3.838000000000000114e+02;-6.300000000000000000e+01
3.839000000000000341e+02;-1.460000000000000000e+02
